read_assignment	reads_assigned	sample_ID
H3N2	1	DCH566.p1763
ambiguous	3	DCH566.p1763
H1N1	2	EJNRJS.p1763
H1N1	25	ELALGB.p1763
ambiguous	4	ELALGB.p1763
ambiguous	4	FBNDBK.p1763
H3N2	4	G2SQEA.p1763
ambiguous	4	G2SQEA.p1763
H1N1	58	HQESVD.p1763
ambiguous	2	HQESVD.p1763
H3N2	3	J5BALT.p1763
ambiguous	2	J5BALT.p1763
ambiguous	1	JB29KY.p1763
ambiguous	3	JBG79W.p1763
ambiguous	1	JHWHWB.p1763
H1N1	10	K9QUDW.p1763
ambiguous	1	KZYD7K.p1763
H1N1	6	L9FY6A.p1763
ambiguous	10	L9FY6A.p1763
H1N1	23	LMZRL4.p1763
ambiguous	4	LMZRL4.p1763
ambiguous	5	MDVLXA.p1763
H1N1	15	QSQTH5.p1763
H3N2	2	QSR8HP.p1763
ambiguous	3	QSR8HP.p1763
ambiguous	2	QXWHMY.p1763
H1N1	10	R5VQNJ.p1763
ambiguous	5	R5VQNJ.p1763
H1N1	35	TWJ4MP.p1763
ambiguous	6	U3FHXV.p1763
ambiguous	1	V5AZDZ.p1763
ambiguous	2	V6HXBV.p1763
H1N1	15	WMVP9B.p1763
H3N2	8	WMVP9B.p1763
ambiguous	3	WMVP9B.p1763
H1N1	1	WSRGM5.p1763
ambiguous	5	WSRGM5.p1763
H1N1	31	WUQU94.p1763
ambiguous	12	WUQU94.p1763
ambiguous	2	XL5EJ3.p1763
H1N1	2	XRB9YF.p1763
H1N1	6	XVLAYZ.p1763
H1N1	31	Y7XGDQ.p1763
ambiguous	6	Y7XGDQ.p1763
ambiguous	3	YGA5WW.p1763
H1N1	18	YY3JZ5.p1763
ambiguous	2	YY3JZ5.p1763
H1N1	69	ASSW6R.p1765
ambiguous	3	ASSW6R.p1765
H1N1	12	C3UJZV.p1765
ambiguous	5	C3UJZV.p1765
H1N1	17	DEQHJ5.p1765
ambiguous	9	DEQHJ5.p1765
H1N1	55	DYYC9R.p1765
ambiguous	7	DYYC9R.p1765
H1N1	26	EGPE2N.p1765
ambiguous	2	EGPE2N.p1765
H1N1	5	ESVABZ.p1765
ambiguous	15	ESVABZ.p1765
H1N1	9	FJAFV4.p1765
ambiguous	1	FJAFV4.p1765
ambiguous	1	FWVHEJ.p1765
ambiguous	4	G5K973.p1765
H1N1	74	H4LADT.p1765
ambiguous	15	H4LADT.p1765
H1N1	63	HDNTA2.p1765
H1N1	29	HXVZSK.p1765
ambiguous	6	HXVZSK.p1765
H1N1	60	JB9NU3.p1765
ambiguous	3	JB9NU3.p1765
H1N1	15	KPF7DE.p1765
H3N2	11	KPF7DE.p1765
ambiguous	25	KPF7DE.p1765
H1N1	124	KZQBZ3.p1765
H3N2	15	KZQBZ3.p1765
ambiguous	11	KZQBZ3.p1765
H1N1	88	L5Y3BL.p1765
ambiguous	12	L5Y3BL.p1765
H1N1	26	L97P6S.p1765
ambiguous	1	L97P6S.p1765
ambiguous	3	LAYA8B.p1765
H1N1	77	LPMBTM.p1765
H3N2	1	LPMBTM.p1765
ambiguous	15	LPMBTM.p1765
H1N1	4	NG7ACQ.p1765
H1N1	33	P79LKD.p1765
H3N2	2	P79LKD.p1765
ambiguous	8	P79LKD.p1765
H1N1	22	PUJW5K.p1765
ambiguous	3	PUJW5K.p1765
H1N1	22	R9P8M5.p1765
ambiguous	1	R9P8M5.p1765
H1N1	42	TBQ2WV.p1765
ambiguous	2	TBQ2WV.p1765
H1N1	17	U2336H.p1765
ambiguous	1	U2336H.p1765
H1N1	15	UG29EN.p1765
ambiguous	7	UG29EN.p1765
H1N1	96	VE5623.p1765
H3N2	15	VE5623.p1765
ambiguous	16	VE5623.p1765
H1N1	43	VL2RNR.p1765
ambiguous	6	VL2RNR.p1765
H1N1	12	VYFAV8.p1765
ambiguous	1	VYFAV8.p1765
H1N1	7	W3SGXH.p1765
H3N2	9	W3SGXH.p1765
ambiguous	7	W3SGXH.p1765
H1N1	17	W6DXSH.p1765
H3N2	1	W6DXSH.p1765
H1N1	29	W94N7K.p1765
H1N1	5	WTV2CP.p1765
H1N1	22	XTVMB4.p1765
ambiguous	5	XTVMB4.p1765
H3N2	12	YFYLRX.p1765
ambiguous	1	YFYLRX.p1765
ambiguous	1	YPDNFJ.p1765
H1N1	19	YTYJ77.p1765
ambiguous	4	YTYJ77.p1765
ambiguous	5	ZJ5QBY.p1765
H3N2	1	A5VRTT.p1772
ambiguous	4	A5VRTT.p1772
ambiguous	3	A8FLUA.p1772
H1N1	16	ABPJS3.p1772
H3N2	7	ABPJS3.p1772
ambiguous	3	ABPJS3.p1772
H1N1	27	AEXK3E.p1772
ambiguous	3	AEXK3E.p1772
H1N1	18	B94UVA.p1772
H3N2	14	B94UVA.p1772
ambiguous	4	B94UVA.p1772
H1N1	58	BFGJHE.p1772
H3N2	3	BFGJHE.p1772
ambiguous	7	BFGJHE.p1772
H1N1	51	BXS26F.p1772
H3N2	7	BXS26F.p1772
ambiguous	14	BXS26F.p1772
H1N1	9	C6LENH.p1772
ambiguous	6	C6LENH.p1772
H1N1	21	CFYRCT.p1772
H1N1	7	CNMDRW.p1772
ambiguous	2	CNMDRW.p1772
H1N1	12	CXSL8S.p1772
H3N2	2	CXSL8S.p1772
ambiguous	4	CXSL8S.p1772
H1N1	4	DES7NA.p1772
H1N1	34	DLP3W2.p1772
ambiguous	28	DLP3W2.p1772
H1N1	2	F9NM5K.p1772
H3N2	15	FNHUQH.p1772
ambiguous	1	FNHUQH.p1772
H1N1	4	FY87ZU.p1772
H3N2	1	FY87ZU.p1772
H1N1	48	FYMYF8.p1772
H3N2	13	FYMYF8.p1772
ambiguous	12	FYMYF8.p1772
H1N1	4	GVNSCJ.p1772
H1N1	7	GX5CTY.p1772
ambiguous	2	GX5CTY.p1772
H1N1	9	HDU2AM.p1772
H1N1	5	HEPBVV.p1772
H1N1	41	HJZQU3.p1772
ambiguous	9	HJZQU3.p1772
H1N1	20	HLXYNZ.p1772
ambiguous	4	HLXYNZ.p1772
H1N1	18	HZ3GK3.p1772
ambiguous	2	HZ3GK3.p1772
H1N1	5	JKKHD5.p1772
H1N1	30	JYBHJT.p1772
H3N2	28	JYBHJT.p1772
ambiguous	10	JYBHJT.p1772
H3N2	11	K8MNRU.p1772
ambiguous	6	K8MNRU.p1772
H1N1	2	KS7HL2.p1772
ambiguous	1	KS7HL2.p1772
H1N1	2	L6KX96.p1772
H1N1	8	LJMED5.p1772
H1N1	38	LPUBNK.p1772
ambiguous	8	LPUBNK.p1772
H1N1	6	MNLS8S.p1772
ambiguous	1	MNLS8S.p1772
H1N1	10	MSFLKN.p1772
ambiguous	2	MSFLKN.p1772
H1N1	15	NW9RTA.p1772
H3N2	7	NW9RTA.p1772
H1N1	30	P2YWMF.p1772
ambiguous	2	P2YWMF.p1772
H1N1	23	QPAT43.p1772
H3N2	11	QPAT43.p1772
ambiguous	4	QPAT43.p1772
H1N1	7	R6FG7N.p1772
H3N2	7	R6FG7N.p1772
ambiguous	2	R6FG7N.p1772
H1N1	1	RBZGKK.p1772
H1N1	10	RCCXLP.p1772
H3N2	16	RCCXLP.p1772
ambiguous	14	RCCXLP.p1772
ambiguous	4	RNFZ8L.p1772
H1N1	6	RZLCV4.p1772
ambiguous	7	RZLCV4.p1772
H1N1	1	S2G7TD.p1772
H1N1	39	S654QS.p1772
H3N2	1	S654QS.p1772
ambiguous	5	S654QS.p1772
H1N1	9	SA9G6Q.p1772
H3N2	4	SA9G6Q.p1772
ambiguous	1	SA9G6Q.p1772
H1N1	26	SWDM8R.p1772
H3N2	6	SWDM8R.p1772
ambiguous	3	SWDM8R.p1772
H1N1	5	SXSFM4.p1772
ambiguous	1	SXSFM4.p1772
H1N1	43	SZSS48.p1772
ambiguous	1	SZSS48.p1772
H1N1	94	TQCEYE.p1772
H3N2	2	TQCEYE.p1772
ambiguous	5	TQCEYE.p1772
H1N1	18	U9MBWQ.p1772
H3N2	1	U9MBWQ.p1772
ambiguous	15	U9MBWQ.p1772
H1N1	17	UBBK6G.p1772
ambiguous	1	UBBK6G.p1772
H1N1	20	UMLKND.p1772
H3N2	1	UMLKND.p1772
ambiguous	3	UMLKND.p1772
H1N1	24	UYKBFJ.p1772
H1N1	11	VXNN7C.p1772
H1N1	8	VYVDNW.p1772
ambiguous	1	VYVDNW.p1772
H3N2	1	W38QN4.p1772
ambiguous	2	W38QN4.p1772
H1N1	88	WZVYNA.p1772
H3N2	5	WZVYNA.p1772
ambiguous	3	WZVYNA.p1772
H1N1	19	XXVMJR.p1772
H3N2	15	Y6K9FA.p1772
ambiguous	6	Y6K9FA.p1772
H3N2	13	AATLQY.p1785
H3N2	22	ASG4JH.p1785
H1N1	47	BCEGZ5.p1785
H3N2	21	BCEGZ5.p1785
ambiguous	7	BCEGZ5.p1785
ambiguous	1	BG8DVE.p1785
ambiguous	2	BNXEDY.p1785
H3N2	11	BQSVV4.p1785
ambiguous	2	BQSVV4.p1785
H1N1	12	CHBC52.p1785
H3N2	17	CHBC52.p1785
ambiguous	3	CHBC52.p1785
H1N1	46	DRR9QT.p1785
H3N2	18	DRR9QT.p1785
ambiguous	8	DRR9QT.p1785
H1N1	41	DSGMUK.p1785
ambiguous	27	DSGMUK.p1785
H1N1	69	EU7JTV.p1785
H3N2	32	EU7JTV.p1785
ambiguous	9	EU7JTV.p1785
H1N1	29	F4P9KM.p1785
H3N2	11	F6VBN8.p1785
ambiguous	6	F6VBN8.p1785
H1N1	57	GCSQB2.p1785
H3N2	16	GCSQB2.p1785
ambiguous	20	GCSQB2.p1785
H1N1	19	GG7JAQ.p1785
H3N2	17	GG7JAQ.p1785
ambiguous	1	GG7JAQ.p1785
H1N1	24	GTHDA8.p1785
H1N2	1	GTHDA8.p1785
H3N2	18	GTHDA8.p1785
ambiguous	5	GTHDA8.p1785
H1N1	37	HLJKJX.p1785
H3N2	9	HLJKJX.p1785
ambiguous	1	HLJKJX.p1785
H1N1	25	HYZ3JL.p1785
ambiguous	3	HYZ3JL.p1785
H1N1	47	J22HG4.p1785
H3N2	34	J22HG4.p1785
ambiguous	12	J22HG4.p1785
H1N1	6	JP37BV.p1785
ambiguous	5	JP37BV.p1785
ambiguous	2	KK8TPT.p1785
H1N1	46	LE28VJ.p1785
ambiguous	1	LE28VJ.p1785
H3N2	24	LV77JA.p1785
H1N1	63	M75EVF.p1785
ambiguous	16	M75EVF.p1785
H1N1	2	MC7757.p1785
H3N2	30	MC7757.p1785
ambiguous	8	MC7757.p1785
H1N1	65	N7WK4A.p1785
ambiguous	3	N7WK4A.p1785
H3N2	8	NR35CQ.p1785
ambiguous	2	NR35CQ.p1785
H1N1	22	NWP7WB.p1785
H1N2	21	NWP7WB.p1785
ambiguous	4	NWP7WB.p1785
H1N1	18	PJGJ2E.p1785
H3N2	13	PJGJ2E.p1785
ambiguous	1	PJGJ2E.p1785
H1N1	36	REL44Q.p1785
ambiguous	6	SH64DR.p1785
H1N1	26	SRUWZD.p1785
H3N2	14	SRUWZD.p1785
H1N1	16	TU44R3.p1785
H3N2	7	TU44R3.p1785
ambiguous	12	TU44R3.p1785
H1N1	1	ULD9RU.p1785
H3N2	48	ULD9RU.p1785
ambiguous	2	ULD9RU.p1785
H1N1	53	UYH392.p1785
ambiguous	2	UYH392.p1785
H1N1	69	VN57UY.p1785
H1N1	29	VP66HA.p1785
H3N2	66	VP66HA.p1785
ambiguous	11	VP66HA.p1785
H1N1	8	WE9KKY.p1785
ambiguous	10	WE9KKY.p1785
H3N2	17	WGFMVC.p1785
ambiguous	8	WGFMVC.p1785
H1N1	37	WRV7R7.p1785
H3N2	26	WRV7R7.p1785
ambiguous	2	WRV7R7.p1785
H1N1	7	XAMWHE.p1785
H1N1	23	XV9CZA.p1785
H3N2	36	XV9CZA.p1785
ambiguous	5	XV9CZA.p1785
H1N1	103	XXE5ZA.p1785
H3N2	34	XXE5ZA.p1785
ambiguous	21	XXE5ZA.p1785
H1N1	7	YPNMAF.p1785
H3N2	25	YPNMAF.p1785
H1N1	56	ZDRE42.p1785
H3N2	5	ZDRE42.p1785
ambiguous	11	ZDRE42.p1785
H1N1	52	ZYKBL8.p1785
H3N2	39	ZYKBL8.p1785
ambiguous	19	ZYKBL8.p1785
H3N2	20	AATCMB.p1788
ambiguous	8	AATCMB.p1788
H3N2	8	ABSBLD.p1788
ambiguous	4	ABSBLD.p1788
H3N2	5	AL7B65.p1788
H3N2	6	BL8AFT.p1788
ambiguous	1	BL8AFT.p1788
H3N2	7	D9VW9Z.p1788
H1N1	7	DGG3XC.p1788
H1N1	15	EL3APM.p1788
H1N1	4	ER9YFU.p1788
H3N2	11	F9UY25.p1788
H1N1	59	FEM9S6.p1788
H3N2	11	FNK86M.p1788
ambiguous	1	FNK86M.p1788
H3N2	4	FUTBXB.p1788
H1N1	37	G6QV6A.p1788
ambiguous	3	G6QV6A.p1788
H3N2	10	GDYPGP.p1788
ambiguous	6	GDYPGP.p1788
H1N1	5	GHJUMP.p1788
ambiguous	3	GHJUMP.p1788
H1N1	26	GLQ7DB.p1788
H1N1	4	GMJ3GH.p1788
H1N1	11	H8865F.p1788
ambiguous	3	H8865F.p1788
H1N1	8	HE9VH5.p1788
H3N2	4	HE9VH5.p1788
ambiguous	4	HE9VH5.p1788
H1N1	29	J5D62F.p1788
H3N2	2	J5D62F.p1788
ambiguous	16	J5D62F.p1788
H1N1	2	J84FNQ.p1788
H1N1	2	KTKF47.p1788
H3N2	18	KTKF47.p1788
ambiguous	1	KTKF47.p1788
H1N1	5	KUC9M2.p1788
H3N2	10	KUC9M2.p1788
ambiguous	4	KUC9M2.p1788
H1N1	1	KUYAAQ.p1788
H1N1	11	L9TZBP.p1788
H3N2	7	L9TZBP.p1788
ambiguous	1	L9TZBP.p1788
H3N2	8	M36BPT.p1788
H1N1	20	MXT228.p1788
H3N2	7	MXT228.p1788
H1N1	29	PHRRQA.p1788
H3N2	9	PHRRQA.p1788
ambiguous	3	PHRRQA.p1788
ambiguous	6	PLQTVY.p1788
H3N2	3	QNTECQ.p1788
ambiguous	6	QNTECQ.p1788
H1N1	12	QYMV98.p1788
ambiguous	2	QYMV98.p1788
H3N2	1	R8FRE4.p1788
H1N1	16	S28XYQ.p1788
ambiguous	2	S28XYQ.p1788
H1N1	21	U5GTPQ.p1788
H3N2	3	UURKDA.p1788
ambiguous	5	UURKDA.p1788
H1N1	3	VTE8HU.p1788
H1N1	12	W3PXDP.p1788
H3N2	10	W3PXDP.p1788
H1N1	11	WBTDMM.p1788
ambiguous	4	WBTDMM.p1788
H1N1	11	WJZXCX.p1788
H3N2	12	WJZXCX.p1788
ambiguous	2	WJZXCX.p1788
H3N2	7	X7P4N4.p1788
H3N2	7	XK52QA.p1788
ambiguous	1	XK52QA.p1788
H1N1	19	XWL69T.p1788
ambiguous	3	XWL69T.p1788
H1N1	3	XZ9NZT.p1788
ambiguous	3	XZ9NZT.p1788
H3N2	4	YR2PTE.p1788
ambiguous	1	YR2PTE.p1788
H1N1	2	YYJFXT.p1788
H3N2	7	YYJFXT.p1788
H3N2	1	Z8J8H7.p1788
H3N2	13	C2QFGN.p1800
H3N2	10	CTB77T.p1800
ambiguous	1	CTB77T.p1800
H3N2	8	EWU5A4.p1800
H3N2	9	FDNA6R.p1800
H1N1	1	FNK9EC.p1800
H3N2	7	FNK9EC.p1800
ambiguous	2	FNK9EC.p1800
H1N1	29	HREP3A.p1800
ambiguous	5	HREP3A.p1800
ambiguous	7	JV8REV.p1800
H1N1	14	JZA2S2.p1800
ambiguous	16	K8SD9G.p1800
H1N1	38	KCSGPT.p1800
H3N2	2	KCSGPT.p1800
ambiguous	12	KCSGPT.p1800
H3N2	4	KD5UTX.p1800
ambiguous	3	KD5UTX.p1800
H1N1	49	KELKZJ.p1800
ambiguous	19	KELKZJ.p1800
H3N2	2	L3QRJZ.p1800
H1N1	285	L4SKCA.p1800
ambiguous	9	L4SKCA.p1800
H1N1	5	MA4GLL.p1800
H3N2	5	MA4GLL.p1800
H3N2	7	MGBSUM.p1800
H3N2	4	MWXJ5J.p1800
ambiguous	2	P6RWHN.p1800
H1N1	1	PDZTYT.p1800
H3N2	1	PDZTYT.p1800
ambiguous	6	PDZTYT.p1800
H3N2	14	PJBJE7.p1800
H3N2	1	PZ95D8.p1800
ambiguous	3	PZ95D8.p1800
H3N2	9	QPV258.p1800
H1N1	13	R33ZR2.p1800
ambiguous	2	R33ZR2.p1800
ambiguous	1	R6NFPY.p1800
H1N1	11	RXWB6L.p1800
ambiguous	2	RXWB6L.p1800
H1N1	15	S3BLHE.p1800
H3N2	7	S3BLHE.p1800
ambiguous	6	S3BLHE.p1800
H1N1	1	SBQKNM.p1800
H1N1	19	SD8NH5.p1800
H3N2	4	SD8NH5.p1800
ambiguous	4	SD8NH5.p1800
H1N1	9	STU9V4.p1800
ambiguous	4	STU9V4.p1800
H3N2	15	T4AMT2.p1800
H3N2	22	TU7E78.p1800
ambiguous	5	TU7E78.p1800
H3N2	12	UK5M6C.p1800
ambiguous	2	UK5M6C.p1800
H5N1	8	URDCA3.p1800
ambiguous	8	URDCA3.p1800
H3N2	25	VDWM6Q.p1800
ambiguous	3	VDWM6Q.p1800
ambiguous	3	VJNQGE.p1800
ambiguous	3	VW8FVC.p1800
H3N2	6	Y65Z87.p1800
H3N2	3	ZJ6MKS.p1800
H1N1	6	ZNR8Y3.p1800
ambiguous	3	ZNR8Y3.p1800
H1N1	3	AAVTC3.p1809
ambiguous	15	AAVTC3.p1809
H1N1	10	ALZY2S.p1809
ambiguous	5	ALZY2S.p1809
H1N1	12	ASF2SC.p1809
H3N2	6	B6CP7Y.p1809
ambiguous	3	B6CP7Y.p1809
H1N1	5	BYEAQY.p1809
H3N2	2	BYEAQY.p1809
H5N1	13	BYEAQY.p1809
ambiguous	3	C5NYPV.p1809
H10N7	1	CADR3U.p1809
H3N2	4	CADR3U.p1809
H5N1	18	CADR3U.p1809
ambiguous	4	CADR3U.p1809
H5N1	30	DWW9YA.p1809
ambiguous	5	DWW9YA.p1809
H3N2	14	E9UZ7Y.p1809
ambiguous	1	E9UZ7Y.p1809
ambiguous	6	EDMPPV.p1809
H3N2	2	EYTTK4.p1809
H5N1	29	EYTTK4.p1809
ambiguous	6	G6TDDG.p1809
H1	1	GJPTKL.p1809
H1N1	75	GJPTKL.p1809
ambiguous	10	GJPTKL.p1809
ambiguous	2	GN9WXF.p1809
ambiguous	1	H7R4KK.p1809
ambiguous	9	HPMTME.p1809
H5N1	6	J83F4B.p1809
H3N2	54	JAKYHT.p1809
ambiguous	13	JAKYHT.p1809
ambiguous	2	JNNAUP.p1809
H3N2	10	JSJ9UQ.p1809
H3N8	2	JSJ9UQ.p1809
H5N1	14	JSJ9UQ.p1809
ambiguous	7	JSJ9UQ.p1809
H1N1	8	JV7F2L.p1809
H5N1	49	JYNUG7.p1809
H7N3	1	JYNUG7.p1809
H1N1	2	K9KAX3.p1809
H3N2	22	K9KAX3.p1809
ambiguous	6	K9KAX3.p1809
ambiguous	1	KM4KEE.p1809
H5N1	3	KV97VW.p1809
ambiguous	3	KV97VW.p1809
ambiguous	4	MSWUA8.p1809
ambiguous	5	MXGMLE.p1809
ambiguous	1	Not-Hybridized-Control.p1809
H5N1	25	QTNF8T.p1809
ambiguous	2	QUX9R6.p1809
H5N1	2	QZRVXD.p1809
ambiguous	2	RN36KG.p1809
H5N1	15	TYLD8P.p1809
ambiguous	2	TYLD8P.p1809
H3N2	33	U8NWSA.p1809
H1N1	11	UG2B2Y.p1809
H3N2	32	UG2B2Y.p1809
ambiguous	1	UG2B2Y.p1809
H1N1	2	UZ7ZE8.p1809
H3N2	3	UZ7ZE8.p1809
H5N1	3	UZ7ZE8.p1809
H5N1	3	V7EX64.p1809
ambiguous	2	VENTZW.p1809
H1N1	6	WHZMG6.p1809
H3N2	5	WXEGNA.p1809
H5N1	5	WXEGNA.p1809
ambiguous	1	WXEGNA.p1809
H5N1	8	WY6H8W.p1809
ambiguous	4	YSUYSB.p1809
H5N1	1	YVFS7E.p1809
ambiguous	74	YVFS7E.p1809
H3N2	11	ZKL9WC.p1809
ambiguous	4	ZKL9WC.p1809
H3N2	2	AKNUWE.p1818
H5N1	7	AKNUWE.p1818
H3N2	2	CA5MSH.p1818
H5N1	13	CA5MSH.p1818
ambiguous	12	CA5MSH.p1818
H1N1	3	CMFJBE.p1818
H5N1	5	DECW4J.p1818
ambiguous	2	DECW4J.p1818
ambiguous	1	DEK76Y.p1818
H3N2	7	E6CZL6.p1818
H5N1	2	E6CZL6.p1818
ambiguous	2	E6CZL6.p1818
ambiguous	1	EYB37Q.p1818
H1N1	1	FFYK82.p1818
H1N1	4	FRV75A.p1818
H5N1	8	FRV75A.p1818
H5N1	5	GDPBTZ.p1818
H3N2	10	GP6ZKS.p1818
H5N1	11	GP6ZKS.p1818
ambiguous	6	GP6ZKS.p1818
ambiguous	1	Hybridized.p1818
H5N1	12	JCLQD4.p1818
ambiguous	2	JCLQD4.p1818
H5N1	12	KC89KQ.p1818
ambiguous	4	M9LSKU.p1818
H5N1	3	MEYC57.p1818
H5N1	4	NAREVP.p1818
ambiguous	3	NAREVP.p1818
H1N1	5	NC8494.p1818
H5N1	21	NC8494.p1818
ambiguous	5	NC8494.p1818
ambiguous	1	Not-Hybridized.p1818
ambiguous	2	NZCP7S.p1818
ambiguous	4	P4P2TC.p1818
ambiguous	48	PMTYNW.p1818
H5N1	16	QA7JXZ.p1818
ambiguous	6	QA7JXZ.p1818
H3N2	3	QE5YRP.p1818
H5N1	3	QE5YRP.p1818
ambiguous	1	QE5YRP.p1818
H5N1	5	QX3BTT.p1818
ambiguous	3	QX3BTT.p1818
H5N1	14	RAWUYW.p1818
H1N1	7	RYXTWA.p1818
H3N2	20	S2A7A4.p1818
H5N1	37	SXUAAJ.p1818
ambiguous	1	SXUAAJ.p1818
H3N2	14	U6ER7B.p1818
H5N1	3	UBTHVB.p1818
H5N1	46	USH9SH.p1818
ambiguous	1	UWKY3B.p1818
H5N1	5	VTM2YC.p1818
ambiguous	1	VTM2YC.p1818
H3N2	17	VW55G6.p1818
H5N1	7	VW55G6.p1818
H5N1	3	WLT3MN.p1818
H5N1	13	X4LNUJ.p1818
ambiguous	1	X4LNUJ.p1818
ambiguous	2	XNJPHC.p1818
H3N2	17	XPMR2M.p1818
H5N1	8	XPMR2M.p1818
ambiguous	9	XPMR2M.p1818
H1N1	1	XXLT4A.p1818
H5N1	3	XXLT4A.p1818
H5N1	9	Y7H8N5.p1818
ambiguous	3	Y7H8N5.p1818
H3N2	4	ZTXRVA.p1818
ambiguous	5	ZTXRVA.p1818
H3N2	3	ZWPSVE.p1818
H5N1	21	ZWPSVE.p1818
ambiguous	1	ZWPSVE.p1818
H1N1	20	BK3XCF.p1823
ambiguous	2	BK3XCF.p1823
H3N2	46	BWFVEQ.p1823
H5N1	47	BWFVEQ.p1823
ambiguous	35	BWFVEQ.p1823
H5N1	22	DFMFZS.p1823
ambiguous	15	DFMFZS.p1823
H5N1	36	FXKZK6.p1823
ambiguous	17	FXKZK6.p1823
H5N1	24	LE77HS.p1823
ambiguous	96	LE77HS.p1823
H3N2	69	LZDLMG.p1823
H5N1	119	LZDLMG.p1823
H6N2	1	LZDLMG.p1823
ambiguous	40	LZDLMG.p1823
ambiguous	7	RW6XS5.p1823
ambiguous	87	S2ATBF.p1823
ambiguous	7	VEGTDQ.p1823
ambiguous	10	Z567UC.p1823
H1N1	20	ASAL5L.p1826
H5N1	12	ASAL5L.p1826
ambiguous	5	BSZ73B.p1826
ambiguous	7	CWDUY8.p1826
ambiguous	6	DQ6VB8.p1826
ambiguous	19	DVGFSQ.p1826
H5N1	2	GJMKZG.p1826
H5N8	7	GJMKZG.p1826
ambiguous	35	GJMKZG.p1826
H5N1	16	GKKHUQ.p1826
ambiguous	10	LRXGLB.p1826
ambiguous	1	Not-Hybridized-Control.p1826
H5N1	57	QSK7YF.p1826
ambiguous	1	QSK7YF.p1826
ambiguous	5	TYMNRU.p1826
H3N2	13	U69RDA.p1826
H5N1	75	U69RDA.p1826
H3N2	2	VBTY2N.p1826
H5N1	60	VBTY2N.p1826
ambiguous	2	VBTY2N.p1826
H3N2	8	WNJBJQ.p1826
H3N2	3	XWA9TG.p1826
ambiguous	42	YJFB4B.p1826
H1N1	22	ZCQ2PV.p1826
ambiguous	4	ZCQ2PV.p1826
ambiguous	3	ASAD6S.p1831
H5N1	17	AXPBA6.p1831
H5N1	29	C77P28.p1831
ambiguous	8	C77P28.p1831
H3N2	7	C7KZE6.p1831
H5N1	76	C7KZE6.p1831
ambiguous	3	C7KZE6.p1831
H3N2	29	CA67H7.p1831
ambiguous	8	CA67H7.p1831
ambiguous	14	D7RR4H.p1831
ambiguous	5	DMQXPB.p1831
H3N2	106	FBC47A.p1831
H5N1	1	FBC47A.p1831
H5N8	30	FBC47A.p1831
ambiguous	8	FBC47A.p1831
H5N1	4	FSYBZ6.p1831
ambiguous	73	FSYBZ6.p1831
H5N1	33	H5GNU3.p1831
ambiguous	2	HQTPDK.p1831
H3N2	15	TRXQ97.p1831
ambiguous	15	TRXQ97.p1831
H5N1	7	BR9SMX.p1834
H5N1	96	DDVCRX.p1834
ambiguous	27	DDVCRX.p1834
H5N1	30	FYQ4WJ.p1834
H1N1	31	HP8C6R.p1834
H3N2	48	HP8C6R.p1834
ambiguous	22	HP8C6R.p1834
H5N1	263	J7MDS6.p1834
ambiguous	13	JKP3XV.p1834
H5N1	6	L3AVHC.p1834
ambiguous	7	SDHJ7A.p1834
H3N2	44	SKCTY7.p1834
H5N1	17	SKCTY7.p1834
ambiguous	2	SKCTY7.p1834
H3N2	8	UJ9VGP.p1834
ambiguous	3	UJ9VGP.p1834
H5N1	32	UWX3HE.p1834
ambiguous	11	UWX3HE.p1834
ambiguous	7	YUYCYK.p1834
H5N1	49	YX9QYT.p1834
ambiguous	6	YX9QYT.p1834
H5N1	66	AZ3EV2.p1835
ambiguous	82	BDAPRA.p1835
H3N2	102	DAZEQV.p1835
H5N1	234	DAZEQV.p1835
ambiguous	4	DAZEQV.p1835
H5N1	44	GM38UF.p1835
ambiguous	8	GM38UF.p1835
ambiguous	9	HCWZBL.p1835
H5N1	19	JBCFPC.p1835
ambiguous	55	JBCFPC.p1835
ambiguous	11	MXUES3.p1835
ambiguous	4	Q3CBDU.p1835
H5N1	50	RHKZGD.p1835
H5N1	49	S3RW34.p1835
H5N1	58	T4LX63.p1835
ambiguous	3	T4LX63.p1835
ambiguous	2	YU6F64.p1835
H3N2	99	AMVNGR.p1838
ambiguous	12	BUYBBW.p1838
H3N2	17	D73AGA.p1838
H5N1	206	D73AGA.p1838
H3N2	40	DZLW3Q.p1838
ambiguous	40	DZLW3Q.p1838
H3N2	18	KPZRK4.p1838
H3N2	6	L6G3A4.p1838
H5N1	22	L6G3A4.p1838
ambiguous	1	L6G3A4.p1838
H5N1	17	PPP93A.p1838
ambiguous	10	QY9WDF.p1838
ambiguous	5	RFLBSS.p1838
H5N1	27	S8JPZF.p1838
H5N1	9	WT2UTA.p1838
